datetime,timestamp,tokens,consommation_co2_g,consommation_eau_L,consommation_electricite_kWh,usage
2025-01-01 00:00:00,1735689600,3677,196.88,1.42,0.5064,cours
2025-01-01 00:15:00,1735690500,399,14.85,0.08,0.0345,autre
2025-01-01 00:30:00,1735691400,914,39.65,0.18,0.0901,autre
2025-01-01 00:45:00,1735692300,4110,115.21,0.84,0.3111,cours
2025-01-01 01:00:00,1735693200,4059,157.61,1.02,0.4419,cours
2025-01-01 01:15:00,1735694100,4580,165.31,0.61,0.3776,cours
2025-01-01 01:30:00,1735695000,4333,129.02,0.78,0.3317,cours
2025-01-01 01:45:00,1735695900,937,38.37,0.27,0.0949,autre
2025-01-01 02:00:00,1735696800,778,21.01,0.1,0.047,autre
2025-01-01 02:15:00,1735697700,301,6.51,0.04,0.0182,autre
2025-01-01 02:30:00,1735698600,3929,126.36,0.52,0.3046,cours
2025-01-01 02:45:00,1735699500,862,19.39,0.09,0.0543,autre
2025-01-01 03:00:00,1735700400,881,23.44,0.13,0.0605,autre
2025-01-01 03:15:00,1735701300,2223,83.34,0.46,0.1936,cours
2025-01-01 03:30:00,1735702200,2418,118.13,0.49,0.3003,cours
2025-01-01 03:45:00,1735703100,4553,216.56,1.4,0.4815,cours
2025-01-01 04:00:00,1735704000,3460,141.87,0.92,0.3495,cours
2025-01-01 04:15:00,1735704900,4181,133.37,0.83,0.349,cours
2025-01-01 04:30:00,1735705800,3528,176.58,1.3,0.4747,cours
2025-01-01 04:45:00,1735706700,3529,124.69,0.52,0.3238,cours
2025-01-01 05:00:00,1735707600,1081,28.03,0.16,0.0724,autre
2025-01-01 05:15:00,1735708500,2983,116.42,0.8,0.3262,cours
2025-01-01 05:30:00,1735709400,3596,96.16,0.68,0.2485,cours
2025-01-01 05:45:00,1735710300,3037,105.49,0.71,0.2661,cours
2025-01-01 06:00:00,1735711200,3065,130.19,0.59,0.3083,cours
2025-01-01 06:15:00,1735712100,707,38.19,0.27,0.0919,autre
2025-01-01 06:30:00,1735713000,3722,155.84,0.62,0.3703,cours
2025-01-01 06:45:00,1735713900,3021,123.14,0.99,0.351,cours
2025-01-01 07:00:00,1735714800,4755,246.47,1.96,0.663,cours
2025-01-01 07:15:00,1735715700,2605,76.45,0.32,0.1837,cours
2025-01-01 07:30:00,1735716600,743,24.27,0.16,0.0609,autre
2025-01-01 07:45:00,1735717500,3060,98.22,0.44,0.2802,cours
